claim_status,video_id,video_duration_sec,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,Total Interactions,Video Classification
claim,7017666017,59,not verified,under review,343296,19425,241,1,0,362962,Typical
claim,4014381136,32,not verified,active,140877,77355,19034,1161,684,237950,Typical
claim,9859838091,31,not verified,active,902185,97690,2858,833,329,1003062,Popular
claim,1866847991,25,not verified,active,437506,239954,34812,1234,584,712856,Popular
claim,7105231098,19,not verified,active,56167,34987,4110,547,152,95416,Typical
claim,8972200955,35,not verified,under review,336647,175546,62303,4293,1857,576353,Typical
claim,4958886992,16,not verified,active,750345,486192,193911,8616,5446,1435894,Viral
claim,2270982263,41,not verified,active,547532,1072,50,22,11,548665,Typical
claim,5235769692,50,not verified,active,24819,10160,1050,53,27,36056,Typical
claim,4660861094,45,verified,active,931587,171051,67739,4104,2540,1172917,Popular
claim,8095102436,47,not verified,active,695641,238030,23062,1719,378,957111,Popular
claim,4507218541,30,not verified,active,482046,168107,19474,3282,532,670159,Typical
claim,3609761483,51,not verified,active,700081,434565,97995,2408,1411,1234052,Popular
claim,3850678773,20,not verified,under review,929685,497236,154917,1225,805,1582643,Viral
claim,1656032315,42,not verified,active,937231,237318,81496,1867,960,1257005,Popular
claim,9277685719,10,not verified,active,746186,193,29,2,0,746408,Popular
claim,9346511024,11,not verified,active,923007,67714,17710,845,536,1008967,Popular
claim,9533847147,27,not verified,active,467702,40435,2804,495,327,511268,Typical
claim,2359906270,11,not verified,active,168594,105245,37929,1723,694,312462,Typical
claim,7146819625,34,not verified,active,249935,20437,2240,212,70,272682,Typical
claim,3827012052,27,not verified,active,550259,30528,6704,258,88,587579,Typical
claim,6940114042,20,not verified,active,510989,162612,26745,2507,1283,701629,Popular
claim,7986031283,52,not verified,banned,60096,34245,11345,219,77,105763,Typical
claim,5733649579,54,not verified,active,750942,136252,27119,2637,1206,915519,Popular
claim,2736327047,39,not verified,active,353722,39844,10399,181,54,404019,Typical
claim,6792082620,33,not verified,active,506061,288150,39351,2405,1134,834696,Popular
claim,2385469584,10,not verified,under review,50892,7976,2903,125,78,61849,Typical
claim,6569363811,22,not verified,under review,812056,329068,3515,5200,1108,1145747,Popular
claim,6301836558,21,not verified,active,677855,332569,97961,5531,2386,1110771,Popular
claim,6854087993,48,not verified,active,74323,20940,3678,274,63,99004,Typical
claim,7568304116,55,not verified,active,573518,324003,125931,4737,2918,1026370,Popular
claim,7730527836,21,not verified,banned,376637,226700,69329,2060,278,672944,Typical
claim,8304906458,23,not verified,active,781955,407367,65029,4274,2240,1256591,Popular
claim,7723647550,33,not verified,active,822795,390001,125607,4012,2055,1340458,Viral
claim,1260034177,10,not verified,active,418750,133645,27821,2387,206,580422,Typical
claim,5407291277,12,not verified,active,535825,73157,1642,1573,97,610721,Typical
claim,6844920875,29,not verified,active,924262,465230,37874,8124,635,1428001,Viral
claim,9171709060,30,not verified,active,489267,110476,17911,2585,90,617744,Typical
claim,2310167046,20,not verified,active,879368,572608,153090,5639,2542,1607608,Viral
claim,4040057402,20,not verified,active,135682,50881,7713,944,324,194600,Typical
claim,7334026327,25,not verified,under review,289935,3484,1092,20,3,294514,Typical
claim,5280794672,34,not verified,active,903941,409234,32446,8390,1390,1347011,Viral
claim,2869029922,46,not verified,active,704320,161850,19294,3077,566,886030,Popular
claim,1421558858,5,not verified,under review,609453,262718,80347,826,99,952617,Popular
claim,4477338445,31,not verified,active,790372,24067,4167,434,236,818842,Popular
claim,4479658983,34,not verified,under review,750369,271101,65378,1482,426,1087274,Popular
claim,9398305380,17,not verified,under review,630556,67394,16130,1197,720,714800,Popular
claim,2584492620,52,not verified,active,853104,45589,16274,758,163,915130,Popular
claim,6528249616,18,not verified,active,636117,360722,12659,105,65,1009563,Popular
claim,6798355648,36,not verified,active,658349,231224,89272,5131,1426,980271,Popular
claim,9161593537,17,not verified,active,472376,210080,37155,4600,2697,722308,Popular
claim,1291361813,53,not verified,active,984793,453657,15329,521,30,1453809,Viral
claim,6346301856,40,not verified,active,301749,27047,1544,230,18,330358,Typical
claim,8355089614,54,not verified,active,971357,111164,13178,2338,779,1096478,Popular
claim,1767010474,29,not verified,active,302525,23738,673,314,118,327054,Typical
claim,6315458270,39,not verified,active,578064,269616,66922,6075,3321,917923,Popular
claim,5775227146,25,not verified,active,205584,49255,5072,1186,223,260134,Typical
claim,7667994370,12,not verified,active,422117,112780,26052,1038,380,561329,Typical
claim,3024206043,49,not verified,active,265598,59672,4952,815,400,330622,Typical
claim,2931436974,13,not verified,active,307222,13123,4689,130,63,325097,Typical
claim,8774049123,34,not verified,active,962886,174445,10848,619,162,1148341,Popular
claim,1712882974,32,not verified,banned,29060,1219,171,3,1,30451,Typical
claim,8610989068,56,not verified,active,952372,10191,114,223,55,962732,Popular
claim,8244180015,37,not verified,active,986657,537842,199478,4721,2891,1726868,Viral
claim,7043718296,44,not verified,active,561388,152488,26474,2668,291,740641,Popular
claim,2833181639,30,not verified,under review,773587,279571,16917,3617,1331,1071406,Popular
claim,8560734678,26,not verified,under review,71676,45324,6977,503,258,124235,Typical
claim,6496578100,55,not verified,banned,663764,113266,31512,2325,564,809106,Popular
claim,3916624482,31,not verified,under review,170467,86546,19813,721,447,277273,Typical
claim,5342027952,5,not verified,under review,988418,344391,78618,239,22,1411449,Viral
claim,7417954522,27,not verified,active,345192,63925,7783,99,57,416957,Typical
claim,9903088754,43,not verified,active,755590,128952,25210,1750,498,910250,Popular
claim,5423860831,48,not verified,under review,611144,46826,12186,503,44,670200,Typical
claim,3679640007,34,not verified,active,929654,616498,97225,588,176,1643553,Viral
claim,5979401954,7,not verified,active,208229,115949,2253,2058,149,326580,Typical
claim,2473723793,17,not verified,banned,248398,139777,17309,1639,209,405693,Typical
claim,2342638585,31,verified,active,677288,214708,66446,2167,1428,959870,Popular
claim,7486721746,8,not verified,under review,726718,241278,28762,1233,87,996845,Popular
claim,3780164260,13,not verified,under review,857998,468810,183219,5830,2431,1512458,Viral
claim,8352128964,48,not verified,active,589041,144226,51973,3362,1597,786837,Popular
claim,1925338598,31,not verified,active,604898,288298,95777,3225,899,989872,Popular
claim,3791068995,20,not verified,under review,737901,205717,4645,666,12,948275,Popular
claim,6404484639,56,not verified,under review,680252,177711,1946,3223,9,859918,Popular
claim,1403965706,31,not verified,under review,250243,45005,9872,705,240,305360,Typical
claim,2675430150,28,not verified,active,5279,2670,16,12,7,7972,Typical
claim,8975962413,37,not verified,active,364943,212815,6149,906,4,583911,Typical
claim,4966288323,51,not verified,banned,865320,139937,49470,2574,1504,1056231,Popular
claim,4219642346,51,not verified,active,874793,306997,29763,5262,2006,1213559,Popular
claim,9716988521,24,not verified,active,468077,194366,37758,4319,131,700332,Popular
claim,5774531836,57,not verified,active,539826,132637,16501,444,60,689024,Typical
claim,6837955665,55,not verified,active,309589,170284,54865,2735,754,535492,Typical
claim,5424962156,39,not verified,active,572084,93187,4911,1475,9,670191,Typical
claim,8176623100,26,not verified,active,879769,107260,27447,2288,1257,1015733,Popular
claim,5559711920,37,not verified,banned,436875,260329,41775,4663,1947,740926,Popular
claim,7401659041,43,not verified,active,501354,248235,64155,3883,2110,815854,Popular
claim,6570169707,50,not verified,banned,168449,90690,16615,1962,383,276137,Typical
claim,1386456170,32,not verified,banned,200060,106959,32426,2564,1500,340945,Typical
claim,4415434682,16,not verified,under review,423164,186423,55246,2404,1430,666263,Typical
claim,3490110525,57,not verified,under review,182650,88712,28801,434,95,300258,Typical
claim,8089681692,49,not verified,active,195432,27339,3483,433,200,226454,Typical
claim,8266347544,9,not verified,active,90931,51974,3568,970,156,146629,Typical
claim,9794898551,43,not verified,banned,920337,567807,214550,4524,2850,1705544,Viral
claim,6445697344,33,not verified,active,995247,505255,156842,9099,3081,1660425,Viral
claim,3817438444,23,not verified,banned,956314,572469,154525,2902,298,1683606,Viral
claim,9952827704,53,not verified,active,328659,165642,46318,337,135,540754,Typical
claim,7687467484,49,verified,under review,631075,284311,97442,1163,354,1013182,Popular
claim,7222903379,60,not verified,under review,228358,19295,2332,270,35,250020,Typical
claim,5923572459,51,not verified,active,276059,97689,38967,2376,507,413222,Typical
claim,2944539454,53,not verified,banned,351066,58438,19119,39,0,428623,Typical
claim,6645515132,41,not verified,under review,530697,30862,8161,278,166,569886,Typical
claim,3984935056,49,not verified,active,2883,1242,348,11,2,4475,Unpopular
claim,3573642153,56,not verified,active,426268,155933,50782,3414,1935,634918,Typical
claim,2507142098,11,not verified,under review,660561,322446,120347,5519,3449,1106803,Popular
claim,4025589908,40,not verified,active,150706,72838,9413,454,1,232958,Typical
claim,7041087617,47,not verified,active,965051,567073,67201,3940,2550,1601875,Viral
claim,7373606171,24,not verified,under review,311719,71173,6362,496,163,389417,Typical
claim,1256736154,50,not verified,active,56142,27239,1540,390,172,85093,Typical
claim,2115386652,48,verified,active,915553,272536,78299,7,3,1266391,Popular
claim,9082277974,20,not verified,active,593281,332025,103892,7769,2486,1031684,Popular
claim,9850813380,59,not verified,banned,169697,12958,589,314,120,183364,Typical
claim,6559389686,53,not verified,active,812513,523168,20023,7565,2809,1358513,Viral
claim,5597300051,34,not verified,active,743385,414665,52389,1427,107,1210546,Popular
claim,5066246380,58,not verified,active,726835,293637,31598,3868,1854,1053924,Popular
claim,9463149535,43,not verified,active,950500,146636,25913,1956,956,1124005,Popular
claim,6028042493,38,not verified,banned,25771,4775,1771,77,26,32343,Typical
claim,2102557699,35,not verified,banned,660194,349323,30579,7102,1335,1041431,Popular
claim,2818218055,50,not verified,active,848448,207258,56105,3272,275,1112086,Popular
claim,9826381124,18,not verified,banned,56312,36854,6211,512,254,99631,Typical
claim,7164433838,10,not verified,under review,263806,8528,2373,27,10,274717,Typical
claim,1474103260,19,not verified,active,951464,365819,101090,752,387,1418760,Viral
claim,3188060641,40,not verified,active,907591,291689,65458,1736,853,1265591,Popular
claim,2312282712,40,not verified,active,285004,33069,11653,572,71,329797,Typical
claim,8045719558,40,not verified,active,611518,43431,8890,196,45,663884,Typical
claim,6287699512,18,not verified,banned,227262,34194,565,456,74,262095,Typical
claim,7194264172,59,not verified,active,216296,92543,22041,270,70,330950,Typical
claim,9514639653,34,not verified,active,714428,445887,67205,5983,2559,1230079,Popular
claim,2868422477,22,not verified,active,915340,459193,53596,7729,1440,1429569,Viral
claim,7413726543,29,not verified,active,830574,424374,150314,7366,2892,1408154,Viral
claim,7852597291,48,not verified,active,42647,17703,5027,375,155,65532,Typical
claim,2516528160,60,not verified,active,697308,190336,65540,3019,1572,954756,Popular
claim,6296788623,16,verified,active,775229,42657,1636,835,247,819769,Popular
claim,7640548534,26,not verified,active,242727,4464,620,62,26,247837,Typical
claim,5715784279,12,not verified,active,64994,37401,4768,246,100,107263,Typical
claim,2099433738,15,not verified,active,338032,174028,58508,3167,834,571402,Typical
claim,5893807380,26,not verified,active,405315,241311,12754,5667,1200,660580,Typical
claim,6710546869,28,not verified,active,443793,62808,18380,671,251,525232,Typical
claim,7688135507,23,not verified,active,754822,441008,28597,7603,4094,1228521,Popular
claim,4617688188,20,not verified,active,612397,69987,27953,910,606,710943,Popular
claim,2934930612,50,not verified,active,998792,151348,48830,2843,1301,1200271,Popular
claim,7850604311,51,not verified,banned,765069,301210,66991,278,156,1133426,Popular
claim,8919589653,54,not verified,active,112830,38543,526,107,3,151902,Typical
claim,9072252537,23,not verified,active,762699,352035,26264,7098,458,1141456,Popular
claim,2073671797,24,not verified,active,645348,25962,6713,211,44,678067,Typical
claim,8269228783,16,not verified,active,379005,204577,49432,2862,1858,634872,Typical
claim,3576462449,15,not verified,active,894337,129925,3678,1010,304,1028244,Popular
claim,5054812105,58,not verified,active,712536,216805,47945,4486,1734,979020,Popular
claim,2731216926,9,not verified,under review,148492,70227,14962,1264,841,234522,Typical
claim,8587085648,33,not verified,active,433310,102440,34276,1753,1030,571056,Typical
claim,8080736770,50,not verified,active,649471,317456,42349,1072,46,1009322,Popular
claim,3424864755,5,not verified,under review,40208,8018,1029,16,0,49255,Typical
claim,2188053512,38,not verified,active,346555,70156,12343,605,94,429148,Typical
claim,3210888500,20,not verified,active,812447,343371,79962,3608,528,1236308,Popular
claim,6425710834,6,not verified,under review,391812,30875,1706,165,76,424469,Typical
claim,9742572710,28,not verified,banned,468758,78841,12464,1271,681,560744,Typical
claim,5127402473,35,not verified,active,642888,21908,7009,412,122,671927,Typical
claim,2042520713,35,not verified,banned,633270,6077,1018,101,60,640425,Typical
claim,9561409967,17,not verified,banned,734203,296340,112802,6795,2745,1146090,Popular
claim,8435751140,44,not verified,active,939399,144236,31119,906,104,1114858,Popular
claim,2990741745,8,not verified,active,494881,32805,8934,534,198,536818,Typical
claim,6722335625,27,verified,active,886215,521651,114330,10943,4219,1526415,Viral
claim,7746498271,47,verified,banned,648343,233325,66078,4728,2122,949868,Popular
claim,8739148209,12,not verified,banned,56430,34026,4691,0,0,95147,Typical
claim,5498164986,42,not verified,active,558866,187629,15527,4493,2012,764034,Popular
claim,3936574703,36,not verified,active,91199,28946,3171,115,59,123375,Typical
claim,2604259933,25,not verified,active,788517,307605,9543,4832,2067,1107732,Popular
claim,1608107038,45,not verified,active,115622,56824,13342,817,373,186161,Typical
claim,2727382715,36,not verified,active,36741,4541,49,38,23,41354,Typical
claim,5902155661,23,not verified,active,417233,217824,34725,357,66,669848,Typical
claim,9213366701,16,not verified,active,509376,153342,34764,2281,1318,698800,Popular
claim,8842246310,52,verified,active,993601,360808,123543,2648,1377,1479329,Viral
claim,6889169972,29,not verified,active,511307,271981,20832,6673,2467,806587,Popular
claim,7804864557,32,not verified,under review,518655,105148,40590,1367,502,664895,Typical
claim,4823187644,59,not verified,banned,268145,112600,14468,2719,106,395319,Typical
claim,9335708424,45,not verified,under review,862840,435872,93125,1459,746,1392583,Viral
claim,7766705565,24,not verified,active,244746,15130,2944,180,62,262882,Typical
claim,4696899899,37,not verified,active,210960,115814,36974,1855,467,364215,Typical
claim,6745378976,12,not verified,under review,111863,516,33,11,4,112416,Typical
claim,6772896896,11,not verified,active,89566,45283,5417,137,21,140287,Typical
claim,1862037900,42,not verified,under review,444516,215982,12545,4987,756,673799,Typical
claim,4551827249,49,not verified,banned,226281,97360,28001,110,72,351714,Typical
claim,7514931640,29,not verified,active,330402,171557,45777,1871,355,548091,Typical
claim,8706266170,17,not verified,banned,704208,133661,17715,368,51,855635,Popular
claim,4219776341,24,not verified,active,519070,158598,54151,665,188,732007,Popular
claim,8594722433,50,not verified,banned,499826,309975,17914,7456,1333,829048,Popular
claim,2139725155,50,not verified,active,167944,87441,6040,353,137,261562,Typical
claim,6933800311,60,not verified,active,511854,312695,39685,376,133,864367,Popular
claim,8984696114,60,not verified,banned,684341,127101,7517,1741,1005,819964,Popular
claim,3067704895,22,not verified,under review,825852,479045,3712,9804,3127,1311736,Viral
claim,4488897516,52,not verified,under review,683434,94655,37748,309,87,815924,Popular
claim,8870414389,41,verified,under review,231712,12348,771,79,36,244867,Typical
claim,2095021181,50,not verified,active,597742,178975,44473,1885,314,821504,Popular
claim,4305540024,36,not verified,under review,273182,81099,21955,1075,611,376847,Typical
claim,3532933441,46,not verified,under review,482106,228292,64845,1252,465,775708,Popular
claim,5846298972,52,not verified,active,93598,52844,86,175,9,146537,Typical
claim,5264861021,39,not verified,active,870656,137823,46313,2897,1696,1056488,Popular
claim,7431921988,5,not verified,active,441748,122633,13387,556,130,577898,Typical
claim,9810190926,40,not verified,active,33738,614,3,6,3,34358,Typical
claim,2892129815,42,not verified,active,934185,22021,8068,538,134,964408,Popular
claim,7530589499,25,not verified,active,422912,248328,50384,4380,19,721643,Popular
claim,9379001882,21,not verified,banned,515255,7604,2738,22,10,525607,Typical
claim,4451936493,17,not verified,active,749576,314896,61154,5917,1414,1127040,Popular
claim,7808317786,54,not verified,active,169966,87626,31020,536,58,288670,Typical
claim,9991058069,58,not verified,active,629607,221678,18098,1467,389,869772,Popular
claim,4836248944,23,not verified,banned,49714,19166,2673,341,7,71560,Typical
claim,7103907292,42,not verified,under review,807048,185813,48347,4570,962,1042170,Popular
claim,9113665173,40,not verified,active,961772,469073,97414,8430,2801,1531060,Viral
claim,8738219904,43,not verified,under review,148883,85580,34011,131,29,268503,Typical
claim,5939958492,12,not verified,active,631388,337717,101692,2704,1298,1072095,Popular
claim,3532054883,48,not verified,active,939426,346894,107200,281,95,1393615,Viral
claim,7025489308,37,not verified,active,560115,259081,97881,3155,935,918012,Popular
claim,7883860722,27,not verified,under review,100810,46464,5054,326,47,152375,Typical
claim,3021635631,49,not verified,active,859572,128379,2142,2633,1100,991193,Popular
claim,3161322846,6,not verified,active,86449,20873,2412,395,154,109888,Typical
claim,2518698336,19,not verified,active,22675,15038,4688,212,0,42401,Typical
claim,2126104163,8,not verified,active,30448,988,206,25,16,31658,Typical
claim,4418650441,23,not verified,banned,569559,184470,14061,1468,173,768263,Popular
claim,6454272818,47,not verified,banned,813598,48172,948,942,401,863119,Popular
claim,5140520149,6,not verified,active,506876,212303,15689,1428,760,735628,Popular
claim,6466205346,46,not verified,active,682406,108826,1338,2661,1014,793584,Popular
claim,9201613150,27,not verified,banned,878248,400541,121970,3447,361,1401120,Viral
claim,1397273081,45,not verified,under review,909325,314007,48135,6184,1278,1272745,Popular
